"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",1,"Adjumani Tc",NA,"","Sub-county","Sub-county","",""
2,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",NA,"","Sub-county","Sub-county","",""
3,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",NA,"","Sub-county","Sub-county","",""
4,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",NA,"","Sub-county","Sub-county","",""
5,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",5,"Ofua",NA,"","Sub-county","Sub-county","",""
6,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",6,"Pakelle",NA,"","Sub-county","Sub-county","",""
7,239,"UGA","Uganda",2,"Apac",2,"Kole",7,"Aboke",NA,"","Sub-county","Sub-county","",""
8,239,"UGA","Uganda",2,"Apac",2,"Kole",8,"Akalo",NA,"","Sub-county","Sub-county","",""
9,239,"UGA","Uganda",2,"Apac",2,"Kole",9,"Alito",NA,"","Sub-county","Sub-county","",""
10,239,"UGA","Uganda",2,"Apac",2,"Kole",10,"Ayer",NA,"","Sub-county","Sub-county","",""
11,239,"UGA","Uganda",2,"Apac",2,"Kole",11,"Balla",NA,"","Sub-county","Sub-county","","Bala"
12,239,"UGA","Uganda",2,"Apac",3,"Kwania",12,"Abongomola",NA,"","Sub-county","Sub-county","",""
13,239,"UGA","Uganda",2,"Apac",3,"Kwania",13,"Aduku",NA,"","Sub-county","Sub-county","",""
14,239,"UGA","Uganda",2,"Apac",3,"Kwania",14,"Cawente",NA,"","Sub-county","Sub-county","","Chawente"
15,239,"UGA","Uganda",2,"Apac",3,"Kwania",15,"Inomo",NA,"","Sub-county","Sub-county","",""
16,239,"UGA","Uganda",2,"Apac",3,"Kwania",16,"Nambieso",NA,"","Sub-county","Sub-county","",""
17,239,"UGA","Uganda",2,"Apac",4,"Maruzi",17,"Akokoro",NA,"","Sub-county","Sub-county","",""
18,239,"UGA","Uganda",2,"Apac",4,"Maruzi",18,"Apac Tc",NA,"","Sub-county","Sub-county","",""
19,239,"UGA","Uganda",2,"Apac",4,"Maruzi",19,"Apac",NA,"","Sub-county","Sub-county","",""
20,239,"UGA","Uganda",2,"Apac",4,"Maruzi",20,"Cegere",NA,"","Sub-county","Sub-county","",""
21,239,"UGA","Uganda",2,"Apac",4,"Maruzi",21,"Ibuje",NA,"","Sub-county","Sub-county","",""
22,239,"UGA","Uganda",2,"Apac",5,"Oyam",22,"Aber",NA,"","Sub-county","Sub-county","",""
23,239,"UGA","Uganda",2,"Apac",5,"Oyam",23,"Achaba",NA,"","Sub-county","Sub-county","","Acaba"
24,239,"UGA","Uganda",2,"Apac",5,"Oyam",24,"Icheme",NA,"","Sub-county","Sub-county","","Iceme"
25,239,"UGA","Uganda",2,"Apac",5,"Oyam",25,"Loro",NA,"","Sub-county","Sub-county","",""
26,239,"UGA","Uganda",2,"Apac",5,"Oyam",26,"Minakulu",NA,"","Sub-county","Sub-county","",""
27,239,"UGA","Uganda",2,"Apac",5,"Oyam",27,"Ngai",NA,"","Sub-county","Sub-county","",""
28,239,"UGA","Uganda",2,"Apac",5,"Oyam",28,"Otwal",NA,"","Sub-county","Sub-county","",""
29,239,"UGA","Uganda",3,"Arua",6,"Arua Municipality",29,"Arua Hill",NA,"","Sub-county","Sub-county","",""
30,239,"UGA","Uganda",3,"Arua",6,"Arua Municipality",30,"Oli River",NA,"","Sub-county","Sub-county","",""
31,239,"UGA","Uganda",3,"Arua",7,"Ayivu",31,"Adumi",NA,"","Sub-county","Sub-county","",""
32,239,"UGA","Uganda",3,"Arua",7,"Ayivu",32,"Aroi",NA,"","Sub-county","Sub-county","",""
33,239,"UGA","Uganda",3,"Arua",7,"Ayivu",33,"Dadamu",NA,"","Sub-county","Sub-county","",""
34,239,"UGA","Uganda",3,"Arua",7,"Ayivu",34,"Manibe",NA,"","Sub-county","Sub-county","",""
35,239,"UGA","Uganda",3,"Arua",7,"Ayivu",35,"Oluko",NA,"","Sub-county","Sub-county","",""
36,239,"UGA","Uganda",3,"Arua",7,"Ayivu",36,"Pajulu",NA,"","Sub-county","Sub-county","",""
37,239,"UGA","Uganda",3,"Arua",8,"Koboko",37,"Koboko Tc",NA,"","Sub-county","Sub-county","",""
38,239,"UGA","Uganda",3,"Arua",8,"Koboko",38,"Kuluba",NA,"","Sub-county","Sub-county","",""
39,239,"UGA","Uganda",3,"Arua",8,"Koboko",39,"Lobule",NA,"","Sub-county","Sub-county","",""
40,239,"UGA","Uganda",3,"Arua",8,"Koboko",40,"Ludara",NA,"","Sub-county","Sub-county","",""
41,239,"UGA","Uganda",3,"Arua",8,"Koboko",41,"Midia",NA,"","Sub-county","Sub-county","",""
42,239,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",42,"Offaka",NA,"","Sub-county","Sub-county","",""
43,239,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",43,"Ogoko",NA,"","Sub-county","Sub-county","",""
44,239,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",44,"Okollo",NA,"","Sub-county","Sub-county","",""
45,239,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",45,"Rhino Camp",NA,"","Sub-county","Sub-county","",""
46,239,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",46,"Rigbo",NA,"","Sub-county","Sub-county","",""
47,239,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",47,"Uleppi",NA,"","Sub-county","Sub-county","",""
48,239,"UGA","Uganda",3,"Arua",10,"Maracha",48,"Kijomoro",NA,"","Sub-county","Sub-county","",""
49,239,"UGA","Uganda",3,"Arua",10,"Maracha",49,"Nyadri",NA,"","Sub-county","Sub-county","",""
50,239,"UGA","Uganda",3,"Arua",10,"Maracha",50,"Oleba",NA,"","Sub-county","Sub-county","",""
51,239,"UGA","Uganda",3,"Arua",10,"Maracha",51,"Oluffe",NA,"","Sub-county","Sub-county","",""
52,239,"UGA","Uganda",3,"Arua",10,"Maracha",52,"Oluvu",NA,"","Sub-county","Sub-county","",""
